OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
CZ-2C DEB,14.8960566,33323,6977.304,96.67,DEBRIS,LARGE,607.304,0
PEGASUS DEB,14.79933218,24529,7007.672,97.302,DEBRIS,SMALL,637.672,0
DEMOSAT/FALCON 1,14.84980074,33393,6991.785,96.971,PAYLOAD,LARGE,621.785,0
CZ-6 R/B,15.39290117,43025,6826.344,93.55,ROCKET BODY,LARGE,456.344,0
THOR ABLESTAR DEB,14.90696833,5808,6973.898,96.599,DEBRIS,SMALL,603.898,0
CZ-2C R/B,15.14670559,43031,6900.116,95.07,ROCKET BODY,LARGE,530.116,0
CZ-2D DEB,15.31574479,43035,6849.251,94.021,DEBRIS,SMALL,479.251,0
FLOCK 3P 73,15.31634468,41981,6849.072,94.017,PAYLOAD,SMALL,479.072,0
FLOCK 3P 85,15.30684127,41983,6851.907,94.076,PAYLOAD,SMALL,481.907,0
SL-8 DEB,14.71868667,5778,7033.246,97.835,DEBRIS,SMALL,663.246,0
CZ-2D DEB,15.26309175,43036,6864.994,94.345,DEBRIS,SMALL,494.994,0
CZ-2D DEB,15.39049175,43038,6827.057,93.564,DEBRIS,SMALL,457.057,0
H-2A R/B,15.07755146,43067,6921.198,95.506,ROCKET BODY,LARGE,551.198,0
H-2A DEB,14.82339407,43068,7000.086,97.144,DEBRIS,LARGE,630.086,0
SL-24 DEB,14.75799117,33398,7020.753,97.574,DEBRIS,LARGE,650.753,0
CZ-4B R/B,14.99517995,33410,6946.522,96.031,ROCKET BODY,LARGE,576.522,0
PRISM (HITOMI),14.97647543,33493,6952.304,96.151,PAYLOAD,SMALL,582.304,0
CZ-4B DEB,14.98725184,36290,6948.971,96.082,DEBRIS,SMALL,578.971,0
H-2A R/B,14.93930518,39771,6963.831,96.39,ROCKET BODY,LARGE,593.831,0
CZ-4B DEB,14.9527501,36289,6959.656,96.303,DEBRIS,SMALL,589.656,0
IRIDIUM 33 DEB,14.73369049,39782,7028.47,97.735,DEBRIS,SMALL,658.47,0
FLOCK 3P 88,15.30588954,41982,6852.191,94.081,PAYLOAD,SMALL,482.191,0
SL-24 DEB,14.9362832,33318,6964.771,96.41,DEBRIS,LARGE,594.771,0
FENGYUN 1C DEB,14.89726067,31147,6976.928,96.662,DEBRIS,SMALL,606.928,0
FLOCK 3P 79,15.28739322,41984,6857.717,94.195,PAYLOAD,SMALL,487.717,0
SICH 1,14.86293238,23657,6987.667,96.885,PAYLOAD,LARGE,617.667,0
FLOCK 3P 68,15.28167172,42003,6859.428,94.231,PAYLOAD,SMALL,489.428,0
ARIANE 40+3 R/B,14.97696548,23608,6952.152,96.148,ROCKET BODY,LARGE,582.152,0
UPM/LBSAT,14.7853153,23607,7012.1,97.394,PAYLOAD,MEDIUM,642.1,0
SL-16 DEB,14.89055195,39871,6979.023,96.706,DEBRIS,SMALL,609.023,0
CERISE,14.95416788,23606,6959.216,96.294,PAYLOAD,MEDIUM,589.216,0
FENGYUN 1C DEB,14.92022175,36169,6969.768,96.513,DEBRIS,SMALL,599.768,0
CZ-2D DEB,15.26152982,43105,6865.462,94.355,DEBRIS,SMALL,495.462,0
