OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.23802797,35102,7190.658,101.138,DEBRIS,SMALL,820.658,2
SL-16 DEB,14.23547005,29094,7191.519,101.156,DEBRIS,SMALL,821.519,2
NOAA 17 DEB,14.42548502,49491,7128.228,99.823,DEBRIS,SMALL,758.228,2
FENGYUN 1C DEB,14.51587906,35094,7098.604,99.202,DEBRIS,SMALL,728.604,2
THOR BURNER 2A DEB,14.29801526,29139,7170.531,100.713,DEBRIS,SMALL,800.531,2
FENGYUN 1C DEB,14.51381849,35095,7099.276,99.216,DEBRIS,SMALL,729.276,2
COSMOS 1408 DEB,14.41702638,49528,7131.015,99.882,DEBRIS,SMALL,761.015,2
IRIDIUM 33 DEB,14.22168639,35079,7196.165,101.254,DEBRIS,SMALL,826.165,2
COSMOS 2251 DEB,14.52370188,35073,7096.055,99.148,DEBRIS,SMALL,726.055,2
COSMOS 2251 DEB,14.53275059,35072,7093.109,99.087,DEBRIS,SMALL,723.109,2
COSMOS 2251 DEB,14.39502647,35065,7138.279,100.035,DEBRIS,SMALL,768.279,2
COSMOS 2251 DEB,14.44012372,35032,7123.409,99.722,DEBRIS,SMALL,753.409,2
COSMOS 2251 DEB,14.54358583,35061,7089.585,99.013,DEBRIS,SMALL,719.585,2
METEOR 2-5 DEB,14.38618587,29198,7141.203,100.096,DEBRIS,SMALL,771.203,2
METEOR 2-6 DEB,14.41602555,29200,7131.346,99.889,DEBRIS,SMALL,761.346,2
SL-16 DEB *,14.35324666,29102,7152.125,100.326,DEBRIS,SMALL,782.125,2
METEOR 2-6 DEB,14.30876307,29201,7166.94,100.638,DEBRIS,SMALL,796.94,2
IRIDIUM 33 DEB,14.35798982,35052,7150.549,100.293,DEBRIS,SMALL,780.549,2
IRIDIUM 33 DEB,14.38648804,35051,7141.103,100.094,DEBRIS,SMALL,771.103,2
SL-16 DEB *,14.35272973,29101,7152.296,100.329,DEBRIS,SMALL,782.296,2
COSMOS 2251 DEB,14.28101761,35043,7176.22,100.833,DEBRIS,SMALL,806.22,2
COSMOS 2251 DEB,14.371468,35060,7146.078,100.199,DEBRIS,SMALL,776.078,2
COSMOS 2251 DEB,14.51935142,34971,7097.472,99.178,DEBRIS,SMALL,727.472,2
THOR BURNER 2A R/B,14.25175173,7219,7186.041,101.04,ROCKET BODY,LARGE,816.041,2
NOAA 17 DEB,14.29815347,49487,7170.485,100.712,DEBRIS,SMALL,800.485,2
NOAA 17 DEB,14.22613276,49481,7194.665,101.222,DEBRIS,SMALL,824.665,2
METEOR 2-5 DEB,14.23716584,29292,7190.948,101.144,DEBRIS,SMALL,820.948,2
NOAA 17 DEB,14.34213387,49480,7155.819,100.403,DEBRIS,SMALL,785.819,2
NOAA 17 DEB,14.41901318,49479,7130.36,99.868,DEBRIS,SMALL,760.36,2
FENGYUN 1C DEB,14.48584214,35134,7108.413,99.407,DEBRIS,SMALL,738.413,2
METEOR 2-5 DEB,14.21796238,29293,7197.421,101.28,DEBRIS,SMALL,827.421,2
NOAA 17 DEB,14.26519941,49478,7181.524,100.945,DEBRIS,SMALL,811.524,2
NOAA 17 DEB,14.38315728,49477,7142.206,100.117,DEBRIS,SMALL,772.206,2
NOAA 17 DEB,14.26906826,49476,7180.226,100.918,DEBRIS,SMALL,810.226,2
COSMOS 2251 DEB,14.43218901,35012,7126.02,99.777,DEBRIS,SMALL,756.02,2
FENGYUN 1C DEB,14.5247194,35093,7095.723,99.141,DEBRIS,SMALL,725.723,2
COSMOS 660,14.40786437,7337,7134.038,99.945,PAYLOAD,LARGE,764.038,2
COSMOS 2251 DEB,14.28981356,34997,7173.275,100.771,DEBRIS,SMALL,803.275,2
COSMOS 2251 DEB,14.37168809,34990,7146.005,100.197,DEBRIS,SMALL,776.005,2
IRIDIUM 33 DEB,14.34790199,34985,7153.901,100.363,DEBRIS,SMALL,783.901,2
COSMOS 2251 DEB,14.51600171,34977,7098.564,99.201,DEBRIS,SMALL,728.564,2
NOAA 17 DEB,14.2771255,49475,7177.524,100.861,DEBRIS,SMALL,807.524,2
FENGYUN 1C DEB,14.22091451,35125,7196.425,101.259,DEBRIS,SMALL,826.425,2
METEOR 2-5 DEB,14.3295023,29291,7160.023,100.492,DEBRIS,SMALL,790.023,2
COSMOS 2251 DEB,14.48165052,35014,7109.785,99.436,DEBRIS,SMALL,739.785,2
COSMOS 2251 DEB,14.3524542,35015,7152.388,100.331,DEBRIS,SMALL,782.388,2
NOAA 17 DEB,14.39039875,49486,7139.809,100.067,DEBRIS,SMALL,769.809,2
FENGYUN 1C DEB,14.37870372,35117,7143.68,100.148,DEBRIS,SMALL,773.68,2
FORMOSAT 3F,14.29063097,29052,7173.001,100.765,PAYLOAD,MEDIUM,803.001,2
FORMOSAT 3E,14.28954176,29051,7173.366,100.773,PAYLOAD,MEDIUM,803.366,2
NOAA 17 DEB,14.28844512,49485,7173.733,100.781,DEBRIS,SMALL,803.733,2
FORMOSAT 3C,14.28921604,29049,7173.475,100.775,PAYLOAD,MEDIUM,803.475,2
FORMOSAT 3B,14.28838749,29048,7173.752,100.781,PAYLOAD,MEDIUM,803.752,2
COSMOS 2251 DEB,14.35999915,35031,7149.882,100.279,DEBRIS,SMALL,779.882,2
SCOUT D-1 R/B,14.4200593,7228,7130.016,99.861,ROCKET BODY,MEDIUM,760.016,2
COSMOS 2251 DEB,14.54631707,35028,7088.698,98.994,DEBRIS,SMALL,718.698,2
FORMOSAT 3A,14.28870826,29047,7173.645,100.779,PAYLOAD,MEDIUM,803.645,2
NOAA 17 DEB,14.24195151,49484,7189.337,101.11,DEBRIS,SMALL,819.337,2
NOAA 17 DEB,14.35533898,49483,7151.43,100.311,DEBRIS,SMALL,781.43,2
CZ-4 DEB,14.43705182,29040,7124.42,99.743,DEBRIS,SMALL,754.42,2
NOAA 17 DEB,14.36160678,49482,7149.349,100.267,DEBRIS,SMALL,779.349,2
COSMOS 2251 DEB,14.5234962,35022,7096.122,99.15,DEBRIS,SMALL,726.122,2
COSMOS 2251 DEB,14.30327495,35016,7168.773,100.676,DEBRIS,SMALL,798.773,2
PEGASUS DEB,14.34452573,29033,7155.023,100.387,DEBRIS,SMALL,785.023,2
COSMOS 2251 DEB,14.52272683,35026,7096.372,99.155,DEBRIS,SMALL,726.372,2
NOAA 16 DEB,14.31125847,41163,7166.107,100.62,DEBRIS,SMALL,796.107,2
COSMOS 2251 DEB,14.41829256,34845,7130.598,99.873,DEBRIS,SMALL,760.598,2
FENGYUN 1C DEB,14.49251977,29815,7106.23,99.362,DEBRIS,SMALL,736.23,2
FENGYUN 1C DEB,14.35840561,30194,7150.411,100.29,DEBRIS,SMALL,780.411,2
FENGYUN 1C DEB,14.25123397,30196,7186.215,101.044,DEBRIS,SMALL,816.215,2
FENGYUN 1C DEB,14.28846193,30197,7173.727,100.781,DEBRIS,SMALL,803.727,2
FENGYUN 1C DEB,14.29859552,30198,7170.337,100.709,DEBRIS,SMALL,800.337,2
FENGYUN 1C DEB,14.28265198,30199,7175.672,100.822,DEBRIS,SMALL,805.672,2
FENGYUN 1C DEB,14.28032109,30202,7176.453,100.838,DEBRIS,SMALL,806.453,2
FENGYUN 1C DEB,14.42266608,30206,7129.156,99.843,DEBRIS,SMALL,759.156,2
ORBCOMM FM 5 DEB,14.39712638,50140,7137.585,100.02,DEBRIS,SMALL,767.585,2
ORBCOMM FM 5 DEB,14.35374363,50142,7151.96,100.322,DEBRIS,SMALL,781.96,2
ORBCOMM FM 5 DEB,14.26707818,50143,7180.893,100.932,DEBRIS,SMALL,810.893,2
ORBCOMM FM 5 DEB,14.31083418,50146,7166.249,100.623,DEBRIS,SMALL,796.249,2
SL-8 R/B,14.40649358,6061,7134.491,99.955,ROCKET BODY,LARGE,764.491,2
COSMOS 2251 DEB,14.21925566,34567,7196.985,101.271,DEBRIS,SMALL,826.985,2
FENGYUN 1C DEB,14.21821599,30217,7197.336,101.279,DEBRIS,SMALL,827.336,2
COSMOS 494,14.35640765,6059,7151.075,100.304,PAYLOAD,LARGE,781.075,2
FENGYUN 1C DEB,14.41566796,30221,7131.463,99.891,DEBRIS,SMALL,761.463,2
FENGYUN 1C DEB,14.37886069,30227,7143.628,100.147,DEBRIS,SMALL,773.628,2
COSMOS 2251 DEB,14.37161139,34564,7146.03,100.198,DEBRIS,SMALL,776.03,2
FENGYUN 1C DEB,14.36865711,30229,7147.01,100.218,DEBRIS,SMALL,777.01,2
FENGYUN 1C DEB,14.51826775,30230,7097.825,99.185,DEBRIS,SMALL,727.825,2
FENGYUN 1C DEB,14.47593294,30232,7111.657,99.475,DEBRIS,SMALL,741.657,2
FENGYUN 1C DEB,14.51896721,30233,7097.597,99.181,DEBRIS,SMALL,727.597,2
THORAD AGENA D DEB,14.28831606,5957,7173.776,100.782,DEBRIS,SMALL,803.776,2
THOR BURNER 2 R/B,14.23512113,5904,7191.637,101.158,ROCKET BODY,LARGE,821.637,2
OPS 5058 (DMSP 5B F2),14.24193418,5903,7189.343,101.11,PAYLOAD,MEDIUM,819.343,2
FENGYUN 1C DEB,14.38207655,30193,7142.564,100.125,DEBRIS,SMALL,772.564,2
COSMOS 2251 DEB,14.39702191,34563,7137.62,100.021,DEBRIS,SMALL,767.62,2
COSMOS 2251 DEB,14.23083527,34571,7193.08,101.189,DEBRIS,SMALL,823.08,2
COSMOS 2251 DEB,14.50397945,34574,7102.486,99.283,DEBRIS,SMALL,732.486,2
THOR BURNER 2 R/B,14.21308533,6276,7199.068,101.315,ROCKET BODY,LARGE,829.068,2
OPS 7323 (DMSP 5B F3),14.28002615,6275,7176.552,100.84,PAYLOAD,LARGE,806.552,2
